s,x0,x1,x2,x3,x4,x5,u0,u1
2.579999296837117706e-01,-3.039232078527615293e-04,1.079887231058449063e-05,4.102561983399169443e-01,5.026180710966371201e+00,-1.570373474675748282e+00,6.000000238418579102e-01,4.811912611032633718e-18,-5.301596554691527952e-04
2.609999419283994815e-01,-3.098800584999545087e-04,9.879185818754067071e-06,4.102574579610114847e-01,5.023180711111607799e+00,-1.570379431526395253e+00,6.000000238418579102e-01,4.811912611032633718e-18,-5.301596554691527952e-04
2.639999516467744223e-01,-3.158369091467033989e-04,8.936644492634150856e-06,4.102586997115548750e-01,5.020180711249394356e+00,-1.570385388377042224e+00,6.000000238418579102e-01,1.535584401862333395e-18,-5.422291454846431876e-04
2.669998964542604214e-01,-3.279641183797001730e-04,7.957925043494439357e-06,4.102599052838905580e-01,5.017180711372424717e+00,-1.570397515586275272e+00,6.000000238418579102e-01,1.535584401862333395e-18,-5.422291454846431876e-04
2.699999061335174866e-01,-3.340565813036346782e-04,6.961949619972522462e-06,4.102610925788382490e-01,5.014180711488164910e+00,-1.570403608049199207e+00,6.000000238418579102e-01,1.535584401862333395e-18,-5.422291454846431876e-04
2.729999158246719237e-01,-3.401490442275691833e-04,5.955627378549877899e-06,4.102622615963978370e-01,5.011180711596726844e+00,-1.570409700512123141e+00,6.000000238418579102e-01,1.535584401862333395e-18,-5.422291454846431876e-04
2.759998606536448462e-01,-3.462415071515036885e-04,4.931027640933608383e-06,4.102634123365693219e-01,5.008180711698222431e+00,-1.570415792975047076e+00,6.000000238418579102e-01,7.558787294015983190e-18,-6.099900057470304887e-04
2.789998702948218723e-01,-3.869757668190535274e-04,3.785367272424846816e-06,4.102644420160022065e-01,5.005180711755725653e+00,-1.570456527234714628e+00,6.000000238418579102e-01,7.558787294015983190e-18,-6.099900057470304887e-04
2.819998799409880186e-01,-3.938295879119427614e-04,2.612118168125354304e-06,4.102654511339722254e-01,5.002180711806241575e+00,-1.570463381055807517e+00,6.000000238418579102e-01,7.558787294015983190e-18,-6.099900057470304887e-04
2.849998246698247639e-01,-4.006834090048319954e-04,1.416382890053532994e-06,4.102664396904792121e-01,4.999180711849912306e+00,-1.570470234876900406e+00,6.000000238418579102e-01,7.558787294015983190e-18,-6.099900057470304887e-04
